v: 20, e: 3049, e/v: 152.450000, e/m: 2.265230, v/(e/m): 8.829124
v: 342, e: 21755, e/v: 63.611111, e/m: 33.992188, v/(e/m): 10.061135
v: 22350, e: 458402, e/v: 20.510157, e/m: 2326.913706, v/(e/m): 9.604997
v: 2162, e: 380506, e/v: 175.997225, e/m: 242.360510, v/(e/m): 8.920595
v: 6320, e: 114642, e/v: 18.139557, e/m: 636.900000, v/(e/m): 9.923065
v: 3906, e: 289685, e/v: 74.164107, e/m: 411.484375, v/(e/m): 9.492463
v: 54990, e: 8470656, e/v: 154.039935, e/m: 5426.429212, v/(e/m): 10.133736
v: 42, e: 7810, e/v: 185.952381, e/m: 5.341997, v/(e/m): 7.862228
v: 12432, e: 1386866, e/v: 111.556145, e/m: 1229.491135, v/(e/m): 10.111500
v: 9702, e: 1367456, e/v: 140.945784, e/m: 945.028334, v/(e/m): 10.266359
v: 38612, e: 1577250, e/v: 40.848700, e/m: 3592.824601, v/(e/m): 10.746976
v: 25760, e: 1175291, e/v: 45.624651, e/m: 2543.919913, v/(e/m): 10.126105
v: 2070, e: 396641, e/v: 191.614010, e/m: 221.835011, v/(e/m): 9.331259
v: 506, e: 34896, e/v: 68.964427, e/m: 52.633484, v/(e/m): 9.613652
v: 870, e: 93289, e/v: 107.228736, e/m: 88.762131, v/(e/m): 9.801477
v: 34782, e: 5696360, e/v: 163.773216, e/m: 3494.699387, v/(e/m): 9.952787
v: 8556, e: 637279, e/v: 74.483287, e/m: 856.557796, v/(e/m): 9.988818
v: 53130, e: 4687418, e/v: 88.225447, e/m: 5067.478919, v/(e/m): 10.484503
v: 552, e: 107117, e/v: 194.052536, e/m: 60.552289, v/(e/m): 9.116088
v: 9312, e: 35249, e/v: 3.785331, e/m: 839.261905, v/(e/m): 11.095464
v: 37442, e: 3575475, e/v: 95.493697, e/m: 3670.918891, v/(e/m): 10.199626
v: 45156, e: 5272342, e/v: 116.758393, e/m: 4754.140667, v/(e/m): 9.498247
v: 6006, e: 259254, e/v: 43.165834, e/m: 644.910448, v/(e/m): 9.312921
v: 4970, e: 768409, e/v: 154.609457, e/m: 449.099357, v/(e/m): 11.066593
v: 39800, e: 31643, e/v: 0.795050, e/m: 3515.888889, v/(e/m): 11.320039
v: 15500, e: 2096323, e/v: 135.246645, e/m: 1408.819220, v/(e/m): 11.002121
v: 12210, e: 1421649, e/v: 116.433170, e/m: 1186.685309, v/(e/m): 10.289164
v: 14280, e: 178367, e/v: 12.490686, e/m: 1382.689922, v/(e/m): 10.327695
v: 2352, e: 46024, e/v: 19.568027, e/m: 213.074074, v/(e/m): 11.038415
v: 24492, e: 667626, e/v: 27.258942, e/m: 2567.792308, v/(e/m): 9.538155
